RWES2,01/08/2018 22:16 MST,39,53,4.99
RWES2,01/08/2018 23:16 MST,37.99,55,5.99
RWES2,01/09/2018 00:16 MST,37,56,7
RWES2,01/09/2018 01:16 MST,37,56,7
RWES2,01/09/2018 02:16 MST,37,56,7
RWES2,01/09/2018 03:16 MST,37.99,54,7
RWES2,01/09/2018 04:16 MST,37,54,7
RWES2,01/09/2018 05:16 MST,37.99,52,8.01
RWES2,01/09/2018 06:16 MST,37.99,50,7
RWES2,01/09/2018 07:16 MST,37.99,49,5.99
RWES2,01/09/2018 08:16 MST,39.99,47,5.99
RWES2,01/09/2018 09:16 MST,44.01,41,4.99
RWES2,01/09/2018 10:16 MST,50,35,2.01
RWES2,01/09/2018 11:16 MST,54,33,3
RWES2,01/09/2018 12:16 MST,52,40,3
RWES2,01/09/2018 13:16 MST,55.99,37,3
RWES2,01/09/2018 14:16 MST,59,35,7
RWES2,01/09/2018 15:16 MST,59,37,4.99
RWES2,01/09/2018 16:16 MST,55.99,41,2.01
RWES2,01/09/2018 17:16 MST,54,44,4
RWES2,01/09/2018 18:16 MST,55,43,12.01
RWES2,01/09/2018 19:16 MST,54,44,11.01
RWES2,01/09/2018 20:16 MST,53.01,46,12.01
RWES2,01/09/2018 21:16 MST,52,48,12.01
RWES2,01/09/2018 22:16 MST,51.01,51,8.99
RWES2,01/09/2018 23:16 MST,51.01,50,8.99
RWES2,01/10/2018 00:16 MST,51.01,51,7
RWES2,01/10/2018 01:16 MST,51.01,51,5.99
RWES2,01/10/2018 02:16 MST,51.01,51,8.99
RWES2,01/10/2018 03:16 MST,50,52,7
RWES2,01/10/2018 04:16 MST,48.99,53,5.99
RWES2,01/10/2018 05:16 MST,48.99,54,4.99
RWES2,01/10/2018 06:16 MST,46,59,2.01
RWES2,01/10/2018 07:16 MST,43,66,3
RWES2,01/10/2018 08:16 MST,41,69,4
RWES2,01/10/2018 09:16 MST,39.99,71,7
RWES2,01/10/2018 10:16 MST,37.99,71,8.99
RWES2,01/10/2018 11:16 MST,36,76,8.99
RWES2,01/10/2018 12:16 MST,32,88,8.01
RWES2,01/10/2018 13:16 MST,25,81,11.01
RWES2,01/10/2018 14:16 MST,19.99,65,7
RWES2,01/10/2018 15:16 MST,19,62,11.01
RWES2,01/10/2018 16:16 MST,17.01,73,4.99
RWES2,01/10/2018 17:16 MST,18,57,7
RWES2,01/10/2018 18:16 MST,12,61,4
RWES2,01/10/2018 19:16 MST,10.99,61,8.01
RWES2,01/10/2018 20:16 MST,7,70,8.01
RWES2,01/10/2018 21:16 MST,3.99,77,5.99
RWES2,01/10/2018 22:16 MST,3.99,71,3
RWES2,01/10/2018 23:16 MST,1.99,73,1.01
RWES2,01/11/2018 00:16 MST,1.99,74,1.01
RWES2,01/11/2018 01:16 MST,1,74,2.01
RWES2,01/11/2018 02:16 MST,-0.99,73,2.01
RWES2,01/11/2018 03:16 MST,-0.99,74,2.01
RWES2,01/11/2018 04:16 MST,1,75,1.01
RWES2,01/11/2018 05:16 MST,0,72,2.01
RWES2,01/11/2018 06:16 MST,0,68,4
RWES2,01/11/2018 07:16 MST,0,71,2.01
RWES2,01/11/2018 08:16 MST,1,68,2.01
RWES2,01/11/2018 09:16 MST,1.99,65,4
RWES2,01/11/2018 10:16 MST,5,59,4
RWES2,01/11/2018 11:16 MST,9,56,4.99
RWES2,01/11/2018 12:16 MST,9,56,5.99
RWES2,01/11/2018 13:16 MST,10,55,4
RWES2,01/11/2018 14:16 MST,7,59,4.99
RWES2,01/11/2018 15:16 MST,7,57,4.99
RWES2,01/11/2018 16:16 MST,3.99,61,4
RWES2,01/11/2018 17:16 MST,1.99,67,2.01
RWES2,01/11/2018 18:16 MST,0,71,0
RWES2,01/11/2018 19:16 MST,1.99,70,1.01
RWES2,01/11/2018 20:16 MST,1,72,4
RWES2,01/11/2018 21:16 MST,1,73,4.99
RWES2,01/11/2018 22:16 MST,1.99,73,4.99
RWES2,01/11/2018 23:16 MST,1.99,71,5.99
RWES2,01/12/2018 00:16 MST,1.99,74,4
RWES2,01/12/2018 01:16 MST,3.99,71,7
RWES2,01/12/2018 02:16 MST,6.01,69,4
RWES2,01/12/2018 03:16 MST,3.99,73,5.99
RWES2,01/12/2018 04:16 MST,1.99,78,7
RWES2,01/12/2018 05:16 MST,1,79,3
RWES2,01/12/2018 06:16 MST,0,79,4
RWES2,01/12/2018 07:16 MST,-0.99,77,3
RWES2,01/12/2018 08:16 MST,-2,76,4
RWES2,01/12/2018 09:16 MST,-2,75,4.99
RWES2,01/12/2018 10:16 MST,1,70,4
RWES2,01/12/2018 11:16 MST,3.99,68,4.99
RWES2,01/12/2018 12:16 MST,3.99,68,4.99
RWES2,01/12/2018 13:16 MST,3.99,68,4.99
RWES2,01/12/2018 14:16 MST,3.99,70,4
RWES2,01/12/2018 15:16 MST,3.99,71,4
RWES2,01/12/2018 16:16 MST,1.99,72,3
RWES2,01/12/2018 17:16 MST,1,75,2.01
RWES2,01/12/2018 18:16 MST,1,76,1.01
